N,S,count,time taken(ms)
1000,40,13500,1.0637
1000,41,13500,1.0794
1000,42,13500,1.212
1000,43,13500,0.78
1000,44,13500,0.1568
1000,45,13500,0.1556
1000,46,13500,0.1613
1000,47,13500,0.1395
1000,48,13500,0.1807
1000,49,13500,0.1685
1000,50,13500,0.2606
1000,51,13500,0.1507
1000,52,13500,0.1758
1000,53,13500,0.24
1000,54,13500,0.0771
1000,55,13500,0.0543
1000,56,13500,0.0489
1000,57,13500,0.0624
1000,58,13500,0.049
1000,59,13500,0.0598
1000,60,13500,0.0939
5000,40,87178,0.2909
5000,41,87178,0.2562
5000,42,87178,0.2475
5000,43,87178,0.2413
5000,44,87178,0.4783
5000,45,87178,0.3013
5000,46,87178,0.3166
5000,47,87178,0.2513
5000,48,87178,0.2647
5000,49,87178,0.2466
5000,50,87178,0.2626
5000,51,87178,0.3086
5000,52,87178,0.243
5000,53,87178,0.2922
5000,54,87178,0.2546
5000,55,87178,0.4302
5000,56,87178,0.3475
5000,57,87178,0.386
5000,58,87178,0.3206
5000,59,87178,0.3005
5000,60,87178,0.3272
10000,40,183208,0.8012
10000,41,183208,0.6266
10000,42,183208,0.6186
10000,43,183208,0.6334
10000,44,183208,0.6627
10000,45,183208,0.6989
10000,46,183208,0.6756
10000,47,183208,0.6479
10000,48,183208,0.5903
10000,49,183208,0.5739
10000,50,183208,0.7678
10000,51,183208,0.7239
10000,52,183208,0.5893
10000,53,183208,0.6271
10000,54,183208,0.5721
10000,55,183208,0.6371
10000,56,183208,0.5803
10000,57,183208,0.6679
10000,58,183208,0.5815
10000,59,183208,0.6402
10000,60,183208,0.61
50000,40,880235,3.6973
50000,41,880235,3.9404
50000,42,880235,3.8603
50000,43,880235,3.8609
50000,44,880235,3.727
50000,45,880235,3.7077
50000,46,880235,3.7687
50000,47,880235,3.6722
50000,48,923246,4.3143
50000,49,1144083,4.0118
50000,50,1144083,3.4489
50000,51,1144083,3.4098
50000,52,1144083,3.4539
50000,53,1144083,3.4353
50000,54,1144083,3.9401
50000,55,1144083,3.6043
50000,56,1144083,3.5782
50000,57,1144083,3.4138
50000,58,1144083,3.607
50000,59,1144083,3.6829
50000,60,1144083,3.8319
100000,40,1861496,7.7897
100000,41,1861496,9.3896
100000,42,1861496,7.8602
100000,43,1861496,7.8036
100000,44,1861496,8.9453
100000,45,1861496,7.8305
100000,46,1861496,7.7755
100000,47,1861496,7.7284
100000,48,1946665,7.9879
100000,49,2379416,7.5226
100000,50,2379416,7.7131
100000,51,2379416,7.7829
100000,52,2379416,8.1714
100000,53,2379416,7.6384
100000,54,2379416,7.6784
100000,55,2379416,7.8681
100000,56,2379416,7.7426
100000,57,2379416,8.1901
100000,58,2379416,7.6439
100000,59,2379416,7.8748
100000,60,2379416,8.7574
500000,40,11089368,45.3514
500000,41,11089368,51.165
500000,42,11089368,51.2909
500000,43,11089368,46.5762
N,S,count,time taken(ms)
1000,5,8795,0.7343
1000,10,9231,0.1396
1000,50,13500,0.1317
1000,100,20165,0.1973
1000,500,125161,0.4278
1000,1000,248692,0.654
5000,5,55749,0.8178
5000,10,58515,1.2642
5000,50,87178,2.2267
5000,100,130208,0.6733
5000,500,407919,0.8139
5000,1000,796968,1.1146
10000,5,121563,0.9585
10000,10,127002,0.9526
10000,50,183208,0.6551
10000,100,271255,0.6634
10000,500,828869,1.274
10000,1000,1598209,1.1663
50000,5,718222,5.1356
50000,10,728756,4.4625
50000,50,1144083,4.1876
50000,100,1704929,3.8282
50000,500,5271841,7.5809
50000,1000,10141506,7.9042
100000,5,1536723,9.0203
100000,10,1558198,7.9673
100000,50,2379416,7.3827
100000,100,3510506,7.1718
100000,500,10650234,12.1572
100000,1000,20341102,15.6396
500000,5,8863857,46.1146
500000,10,9035871,44.9044
500000,50,11089368,40.7012
500000,100,14447004,43.2744
500000,500,66362035,65.9535
500000,1000,126803844,95.3164
1000000,5,18727545,100.0461
1000000,10,19071737,109.1776
1000000,50,23184412,93.4112
1000000,100,29890878,87.5173
1000000,500,133779717,129.5699
1000000,1000,255045711,199.6062
5000000,5,105557256,585.2597
5000000,10,108215397,575.6171
5000000,50,135616811,565.4984
5000000,100,178689219,567.8993
5000000,500,454863791,673.9994
5000000,1000,831108793,886.7769
10000000,5,221111063,1157.9055
10000000,10,226416826,1105.6332
10000000,50,281244259,1068.9519
10000000,100,367299709,1215.0817
10000000,500,920176218,1501.5171
10000000,1000,1673119997,1822.5059
